age,gender,isep,coatHanger
28,f,51,6
26,f,48,4
32,m,37,5
34,m,39,10
21,m,57,2
19,f,59,7
61,f,52,8
20,m,60,12
38,m,48,4
41,f,48,8
45,m,49,6
30,f,46,5
21,f,48,8
22,m,90,8
23,f,51,6
26,f,46,4
59,f,47,6
24,f,43,9
43,m,57,7
49,f,59,13
20,f,58,8
20,f,51,11
22,f,59,10
22,f,47,5
29,f,59,4
31,m,52,7
24,m,58,6
20,f,48,7
20,f,48,5
21,f,56,7
22,m,39,6
21,m,62,9
40,f,55,4
26,f,43,3
36,m,53,8
65,f,51,6
30,m,49,2
28,f,44,3
32,m,57,2
25,m,49,4
29,f,32,6
35,m,27,7
23,f,47,7
21,m,26,5
19,f,47,9
21,f,47,10
21,m,52,9
20,f,60,16
18,f,46,6
18,f,49,15
33,f,53,8
20,f,48,3
25,m,46,10
26,f,51,8
21,f,42,11
48,f,44,8
20,f,56,7
20,f,54,5
21,f,63,6
20,f,47,9
25,f,55,7
29,f,52,5
32,f,53,9
33,f,55,6
27,f,45,16
27,f,34,8
29,m,37,7
25,m,47,10
54,f,45,9
46,m,35,7
76,f,58,9
77,m,49,7
22,f,61,8
21,m,48,11
18,f,58,7
20,f,55,6
26,f,49,7
18,f,43,9
22,f,51,7
21,m,46,5
23,f,47,4
20,f,55,9
23,m,36,11
23,m,46,9
24,m,42,4
26,f,40,6
22,f,47,6
23,m,46,8
20,f,55,3
26,m,52,3
18,f,43,4
45,f,52,3
63,f,58,12
27,m,51,6
32,f,56,9
26,f,55,4