HM,SUICIDE
10,7
10,11
10,8
4,14
10,13
8,12
8,7
5,15
8,7
9,10
10,12
1,10
4,11
8,8
3,9
5,12
10,7
10,9
7,9
8,11
8,11
9,9
5,14
8,8
0,19
9,13
10,11
7,14
8,12
7,10
10,26
4,11
8,11
3,13
2,18
5,13
0,31
8,8
3,32
8,9
7,18
10,9
4,13
10,8
2,9
0,23
10,9
10,9
5,8
9,11
5,8
5,10
3,13
5,8
0,7
4,10
8,13
2,9
3,11
2,25
5,21
2,12
6,14
7,13
10,9
10,7
5,11
10,7
0,19
10,6
2,35
10,14
10,11
7,8
8,10
10,7
5,9
8,15
7,10
9,12
7,9
10,14
10,8
10,6
8,5
3,16
2,9
10,6
8,10
9,15
6,19
0,20
1,30
4,19
10,7
5,11
4,29
6,9
5,10
7,11
9,14
5,2
9,7
8,7
4,14
10,13
7,11
5,10
6,8
7,12
7,7
8,9
7,12
10,9
2,19
7,12
7,11
7,12
0,14
1,9
2,11
5,9
3,10
9,12
10,8
10,5
8,5
5,14
10,12
1,12
5,7
10,9
4,6
6,6
4,16
2,25
1,14
10,14
10,10
10,17
5,10
0,10
8,9
7,24
7,17
1,11
6,13
7,11
10,5
4,9
6,8
1,27
4,32
9,12
10,7
7,12
7,12
7,19
10,7
7,9
10,12
10,19
8,16
4,12
8,8
1,19
2,12
4,10
10,10
2,12
2,13
3,18
4,19
0,8
8,7
8,17
10,10
3,25
7,19
2,13
6,11
7,12
10,4
10,7
10,21
7,15
0,14
10,10
10,15
8,6
5,16
2,12
6,12
4,18
10,9
7,11
4,23
8,13
9,12
10,7
10,9
10,9
10,7
4,9
10,11
5,12
10,7
10,12
10,12
10,23
10,4
4,14
10,2
3,17
2,12
4,12
10,4
4,19
1,16
10,8
7,25
2,18
5,10
5,13
10,8
8,16
5,19
10,7
10,7
9,11
3,17
10,12
10,8
10,10
5,9
10,4
10,8
2,28
4,19
10,7
7,10
2,21
8,14
6,12
10,14
10,12
10,6
6,4
10,12
4,9
4,11
2,3
2,11
1,18
10,7
7,21
4,6
5,11
5,14
8,7
3,7
1,10
10,10
5,7
8,23
8,9
10,11
10,12
5,29
7,10
9,12
10,12
9,6
10,7
7,8
10,16
10,7
10,14
7,14
7,13
5,10
10,9
10,10
10,7
2,25
10,7
6,24
1,7
10,9
10,9
4,13
10,10
10,9
6,10
4,22
0,22
2,9
5,12
8,7
3,9
10,8
8,13
6,12
0,13
4,14
6,14
8,12
10,19
8,12
5,7
10,7
2,16
10,9
9,4
8,12
4,18
10,13
10,27
10,8
10,8
7,17
0,23
0,6
8,12
8,8
5,23
1,13
10,5
10,20
10,12
5,24
8,8
10,11
8,8
5,20
9,13
7,9
6,18
10,9
9,10
2,35
0,20
10,8
10,7
10,12
4,15
7,10
2,22
10,9
4,5
10,10
7,13
10,7
10,9
10,32
7,11
10,4
2,27
6,13
10,10
10,12
9,12
3,10
10,9
10,10
7,9
10,7
10,11
3,9
8,9
10,17
10,8
6,11
8,18
10,12
8,12
10,7
10,8
7,11
10,12
10,7
7,8
9,10
7,8
10,9
10,9
10,10
4,10
7,12
8,7
0,21
3,9
5,13
5,17
10,13
9,12
10,10
4,17
10,12
7,10
9,4
10,12
0,16
4,10
4,13
2,12
10,8
2,16
10,9
3,18
10,7
7,12
10,7
9,11
10,11
3,18
5,23
4,12
0,7
7,7
10,13
10,9
10,6
7,12
6,10
4,10
5,20
10,8
10,12
10,12
4,14
9,7
6,8
10,9
7,11
6,9
2,11
7,9
10,11
10,6
10,12
2,10
5,11
6,26
6,12
3,14
7,11
6,14
5,9
10,12
10,12
10,12
7,18
6,12
3,13
7,7
10,14
6,12
9,7
2,12
10,12
10,7
10,9
5,17
10,9
7,10
10,5
7,13
9,8
1,23
10,10
10,13
7,22
7,6
7,14
10,13
5,16
3,13
6,8
10,0
7,8
10,11
9,12
5,9
10,7
7,18
10,9
6,14
10,8
4,13
10,9
7,12
5,13
4,9
8,6
6,21
6,8
1,16
7,9
3,13
1,10
3,10
5,12
10,17
6,7
10,21
7,11
10,11
6,10
6,24
10,7
10,9
7,12
5,11
8,9
10,7
8,6
7,7
7,14
10,23
7,8
7,12
10,7
8,11
10,9
5,19
10,10
3,21
10,8
10,8
8,12
0,21
10,7
8,13
4,14
9,12
7,7
3,10
10,10
7,17
6,14
6,15
3,23
2,16
8,12
10,4
10,6
8,7
8,23
0,19
4,12
7,12
2,23
8,12
6,7
10,9
8,21
8,12
10,9
7,10
8,21
6,17
10,9
5,9
8,6
5,9
0,10
6,18
10,11
4,10
10,7
5,11
10,13
10,8
10,9
5,10
6,12
5,10
9,13
8,13
8,7
10,16
10,9
9,10
2,7
8,11
10,9
8,12
5,16
7,8
10,12
8,11
10,12
4,14
10,7
9,12
7,19
10,28
1,8
4,8
3,19
2,10
7,7
7,12
5,16
10,15
4,15
4,16
10,5
10,6
10,17
10,12
5,12
2,10
7,9
7,16
8,6
10,14
10,7
10,14
10,10
7,10
10,12
9,8
10,6
4,9
10,7
5,14
10,11
7,12
8,9
5,12
2,14
10,3
4,11
9,10
7,10
7,10
6,9
10,21
4,16
9,11
3,15
10,3
10,12
7,12
10,11
10,11
9,12
4,10
10,15
10,7
6,19
4,11
7,8
10,7
6,10
8,10
2,15
10,24
8,7
9,13
5,11
0,9
5,7
10,10
10,10
3,10
1,12
10,11
9,9
4,10
9,11
10,5
10,7
10,4
4,9
10,15
8,12
6,7
8,12
5,11
5,14
5,8
10,7
10,7
10,7
2,5
2,11
8,9
10,6
5,11
10,16
6,14
8,8
6,14
10,10
0,11
4,22
6,12
9,12
10,16
10,21
1,12
10,7
8,18
10,16
9,9
10,12
7,11
9,9
10,10
10,10
10,12
6,11
10,7
2,15
5,9
4,11
1,11
4,14
0,15
10,8
6,15
2,11
10,9
4,18
9,5
9,7
10,13
1,28
3,11
7,12
10,12
10,7
6,11
1,14
0,14
10,7
3,21
0,10
7,11
3,19
7,8
6,10
7,14
10,6
10,9
10,5
2,10
10,1
4,11
6,17
4,19
8,8
8,9
10,8
10,7
8,14
8,7
10,8
4,36
8,11
10,24
5,6
7,16
10,11
10,8
6,9
10,6
8,11
10,9
5,23
10,12
2,9
7,12
2,9
10,12
3,26
10,8
3,14
4,10
3,7
5,15
7,10
10,7
5,11
3,14
6,13
5,10
9,7
10,7
7,18
10,29
6,11
7,8
10,11
9,13
10,12
10,7
0,10
1,24
10,9
6,7
10,7
10,12
6,8
7,12
8,14
10,10
8,10
8,11
7,9
9,22
8,11
10,12
4,24
5,14
2,13
8,12
3,20
6,21
10,0
10,8
5,10
10,9
4,11
10,13
7,10
10,9
4,10
10,12
10,12
10,9
6,25
10,7
10,11
7,7
10,8
7,11
7,11
8,10
5,8
10,11
2,9
7,16
2,18
8,11
5,9
8,10
10,9
10,9
10,10
5,10
3,23
10,12
9,8
6,13
10,11
3,9
9,9
8,14
9,12
2,13
5,12
9,13
5,7
8,10
7,8
10,9
6,17
10,12
9,16
10,10
8,7
3,10
8,13
8,11
8,12
10,12
6,16
10,5
9,10
8,11
9,11
8,19
7,10
7,12
6,11
2,14
9,12
1,12
5,18
3,7
8,10
0,10
6,22
2,2
5,15
5,8
10,9
7,7
4,25
5,14
10,5
10,36
10,18
10,12
3,9
10,9
7,13
10,5
8,7
3,18
10,14
9,11
4,11
7,10
2,10
2,13
7,9
1,17
7,9
6,10
10,12
9,8
10,21
10,9
10,6
7,8
9,7
4,12
6,18
10,5
6,11
9,6
4,7
10,9
2,19
4,35
10,5
9,11
7,7
10,8
10,8
4,9
2,15
5,13
10,12
10,7
3,23
10,11
8,12
10,9
10,12
10,6
9,7
9,10
8,8
2,19
4,7
1,13
7,8
10,12
10,10
10,11
7,13
10,10
9,7
9,9
9,9
5,15
8,7
9,10
9,19
7,13
9,8
9,7
10,11
10,10
9,9
1,23
3,30
8,12
9,12
10,8
5,12
8,14
7,10
10,4
6,18
10,12
2,19
10,7
3,12
10,11
4,9
10,20
9,5
1,8
10,13
10,12
10,18
10,7
10,16
5,12
10,12
8,8
6,11
8,8
2,17
7,9
3,34
5,11
10,8
5,10
7,17
0,29
6,12
1,12
5,16
8,8
10,25
6,12
10,21
5,10
10,13
8,7
4,17
10,14
9,14
2,34
10,1
4,9
5,13
1,12
7,2
8,12
6,12
10,12
4,7
10,8
7,7
6,9
10,9
10,8
0,20
10,7
4,13
9,14
2,29
8,10
10,12
9,12
10,7
8,8
6,8
10,9
9,12
9,7
10,20
10,9
0,33
8,16
6,9
1,23
5,9
6,8
3,7
3,9
7,8
10,12
7,13
7,15
7,9
6,18
4,9
10,10
5,8
5,12
0,36
10,12
6,13
8,9
10,21
10,9
6,21
2,6
5,17
3,12
7,15
4,21
10,8
4,10
4,12
10,12
10,8
1,22
10,19
10,8
8,7
0,9
10,9
4,11
4,9
5,20
5,9
8,7
10,10
8,8
8,17
2,10
10,8
2,14
3,14
5,9
10,6
10,17
1,25
10,10
6,10
10,7
9,12
10,16
10,8
2,10
10,12
10,7
7,8
10,13
6,10
7,13
10,0
4,11
4,14
8,6
4,9
7,11
8,10
9,12
7,12
10,18
10,7
8,21
9,12
3,9
6,7
10,10
7,15
10,10
10,7
6,12
6,14
9,10
10,10
10,12
5,13
10,11
8,9
10,7
10,7
7,8
4,9
10,11
3,11
9,7
10,11
6,7
8,7
5,11
7,10
5,12
6,12
10,12
10,12
8,7
9,12
4,7
5,8
5,17
8,13
7,12
7,15
8,10
10,10
2,18
5,11
10,11
4,11
8,7
8,9
7,9
2,22
9,9
7,9
10,9
7,10
8,12
10,7
6,7
10,14
5,8
10,9
5,8
8,7
10,15
10,15
10,11
10,7
10,11
5,12
7,0
7,11
0,24
10,9
10,8
5,11
8,25
8,14
7,10
8,7
6,9
10,9
5,19
10,12
7,7
10,7
10,26
10,7
7,7
10,12
6,7
9,8
3,8
10,7
10,9
5,10
8,17
8,9
10,8
10,17
6,9
10,7
10,12
2,12
10,15
7,8
4,19
10,11
10,12
8,21
2,13
9,7
3,9
5,9
10,11
6,12
10,9
8,14
3,11
6,7
10,8
9,8
7,12
6,7
4,19
9,6
0,9
7,14
7,5
10,8
10,7
6,9
10,9
10,8
5,22
5,10
10,14
10,14
8,8
5,9
0,16
7,23
6,14
0,10
5,18
5,11
3,7
6,14
10,11
6,11
2,9
10,11
6,12
5,15
5,15
0,11
0,11
9,7
10,9
9,7
7,13
7,8
8,5
7,10
8,7
3,19
6,21
3,17
0,13
10,7
8,12
10,9
10,7
10,6
10,7
5,10
5,8
10,8
10,8
4,14
9,12
10,8
10,6
5,9
10,9
10,8
1,16
5,17
10,7
7,12
4,9
5,19
3,12
7,3
10,7
9,10
3,18
9,19
1,24
10,10
2,14
9,13
10,8
7,18
5,10
1,23
3,14
10,5
7,15
10,9
7,11
0,19
6,11
8,15
5,9
2,6
4,10
5,17
6,12
10,8
3,12
9,10
8,6
10,9
9,13
10,12
4,12
1,17
5,13
7,11
10,7
4,19
5,20
1,23
5,16
7,8
10,8
6,9
3,14
10,25
7,13
10,8
10,4
10,7
10,8
6,8
0,22
0,11
1,9
10,7
8,15
5,12
10,12
4,15
6,17
10,7
8,6
9,12
3,15
2,11
10,7
5,10
10,6
5,11
1,22
10,7
10,23
7,11
7,10
10,7
6,18
10,9
2,17
0,21
10,17
10,10
8,8
10,11
10,10
5,9
10,8
10,9
10,9
10,7
3,15
10,12
10,8
5,6
4,8
6,15
10,12
8,9
8,17
5,12
1,10
5,23
2,16
8,15
5,29
5,18
8,6
10,18
9,9
7,7
9,8
10,12
9,12
8,2
10,9
9,12
10,11
2,22
5,19
8,9
3,21
0,24
10,12
6,6
10,13
3,9
10,12
10,7
8,12
10,12
6,12
6,15
10,6
10,9
10,10
10,8
2,8
9,12
5,16
9,11
10,11
5,12
7,7
10,7
2,33
8,11
10,7
3,11
10,13
10,9
2,36
1,14
10,12
10,11
0,13
10,6
4,7
2,13
10,10
5,15
6,12
10,10
9,8
0,36
10,9
6,36
9,10
10,9
8,11
10,11
2,12
3,13
10,12
8,11
8,7
8,7
10,9
10,12
3,23
6,11
8,11
10,10
0,25
10,12
10,11
2,13
2,21
5,10
10,9
10,7
8,10
5,14
8,12
6,6
4,19
10,10
10,14
10,12
4,12
6,9
9,18
4,16
8,11
10,7
10,9
7,10
10,12
0,18
7,9
5,14
0,12
9,9
5,9
10,7
10,16
10,13
10,10
7,15
2,14
6,15
5,21
10,7
8,13
5,9
6,7
10,8
5,12
10,5
10,12
10,13
7,11
5,14
10,12
7,14
5,14
7,11
5,12
0,14
6,12
9,7
5,7
9,9
7,12
8,9
7,9
7,16
2,12
4,20
8,14
10,13
3,23
10,7
3,17
10,7
8,8
10,9
5,10
5,12
2,15
10,12
10,8
7,7
5,11
8,13
6,8
10,7
10,13
0,29
9,7
5,26
9,10
2,24
7,11
10,13
6,12
7,27
10,10
10,9
7,12
7,11
4,13
10,21
6,12
7,16
4,9
9,12
5,13
9,11
8,19
10,7
6,16
9,12
2,13
10,12
6,9
10,10
6,20
10,8
10,12
5,19
5,12
10,5
7,12
9,13
2,25
5,13
10,7
6,12
9,11
6,11
5,16
7,12
5,12
5,11
4,20
6,9
0,16
2,15
9,8
10,22
3,10
2,19
4,28
4,8
9,9
10,12
5,11
8,9
9,13
10,10
5,16
10,8
6,11
5,14
5,7
6,12
10,19
10,14
6,8
8,9
7,9
3,24
9,12
4,13
6,6
0,9
9,13
7,7
10,15
2,12
7,7
5,8
10,6
7,13
10,12
7,36
6,23
10,6
5,8
10,8
10,12
5,27
5,16
4,7
10,10
7,9
10,8
7,9
7,9
2,17
6,13
1,11
4,8
6,19
10,9
0,13
0,11
9,17
7,16
10,6
2,9
5,11
5,13
8,15
7,10
10,7
7,12
3,6
8,10
10,8
5,9
4,13
6,13
4,9
8,17
6,9
10,10
4,20
4,15
8,7
10,7
10,0
8,7
7,18
10,13
10,10
10,7
10,0
10,21
10,16
10,4
7,12
10,13
4,12
3,15
10,18
10,4
4,8
2,16
8,9
5,9
6,13
4,13
8,12
3,15
7,12
2,12
2,20
6,7
3,5
6,10
3,11
7,18
2,9
7,9
10,7
4,7
7,6
3,13
10,7
10,21
6,18
9,9
10,8
5,9
6,18
6,13
6,11
7,8
6,11
8,11
10,11
10,11
7,2
6,11
5,10
4,21
10,12
4,15
5,10
3,17
2,24
10,11
8,14
5,12
0,15
10,7
0,33
5,16
10,8
10,7
7,12
6,11
10,3
4,15
9,4
6,17
2,12
1,11
2,10
4,11
2,13
10,7
7,7
7,11
4,9
6,12
6,15
8,7
10,11
4,8
8,9
4,8
2,8
7,10
2,9
10,6
8,9
7,15
6,13
1,18
3,12
7,8
5,7
7,14
7,8
2,12
7,8
6,8
10,7
5,14
4,21
7,14
9,8
10,12
10,8
7,15
5,7
10,12
1,11
4,34
3,8
3,12
9,12
8,14
7,10
10,16
4,14
10,11
10,7
4,12
1,13
6,7
8,7
10,13
5,7
5,11
4,22
10,7
10,9
10,11
10,7
10,9
10,7
8,13
10,9
3,17
8,9
10,17
10,11
3,8
5,22
7,14
5,11
6,15
5,6
5,17
3,13
10,12
5,21
10,12
3,18
10,11
4,12
5,13
9,12
0,7
10,9
10,12
9,12
10,11
8,18
6,11
10,6
6,13
6,10
2,10
0,17
2,16
3,10
10,14
4,11
10,15
10,17
3,8
2,17
5,13
8,11
6,9
8,10
10,7
8,30
10,7
5,9
10,9
4,13
9,8
10,8
10,9
9,10
10,8
10,10
3,12
10,5
3,14
1,12
8,12
10,33
10,15
10,11
10,12
4,14
5,12
7,8
10,12
7,6
10,10
10,11
6,11
10,7
10,11
10,11
7,9
2,15
10,11
3,6
8,13
10,7
10,12
10,10
2,13
8,7
6,8
8,9
10,8
8,9
10,9
5,19
6,9
7,8
9,0
2,12
6,13
10,13
7,7
6,17
4,11
10,8
7,13
6,9
3,12
5,16
6,10
10,3
5,9
7,10
10,10
10,12
10,10
5,7
1,11
3,12
9,12
4,10
5,7
10,12
10,10
0,30
2,21
5,11
6,11
10,8
10,10
10,17
4,9
10,10
9,8
6,3
4,15
6,13
2,13
3,12
2,15
10,9
5,16
5,12
3,18
5,13
6,9
5,19
7,12
7,9
3,11
7,9
2,6
5,7
2,14
0,16
3,12
7,11
10,7
6,9
4,14
2,9
0,23
0,10
10,8
10,8
6,14
6,9
7,12
4,20
4,18
10,6
1,18
7,21
3,9
5,11
10,7
5,8
10,12
2,15
2,14
5,10
10,7
6,10
2,25
3,16
8,13
4,16
9,6
5,10
10,36
3,20
7,9
10,7
5,9
2,25
5,12
3,19
1,15
10,8
0,11
10,11
10,6
4,10
10,7
5,13
10,9
8,14
10,7
7,9
2,15
6,8
7,24
4,9
10,12
5,11
3,15
4,13
5,7
6,10
10,11
6,15
3,11
4,12
10,10
5,12
2,29
10,22
3,10
3,14
10,7
1,12
10,11
6,8
5,11
10,10
7,9
7,10
5,9
8,11
8,11
10,13
5,12
10,7
5,16
5,8
3,17
5,12
8,11
7,24
10,12
8,8
4,24
9,15
3,6
10,9
8,9
4,11
10,7
6,10
